  ;CDU/CSU ;SPD ;GRÜNE ;FDP ;LINKE ;PIRATEN ;Sonstige ;AfD;Befragte ;Zeitraum
20.09.2013;39,5 %;27,0 %;9,0 %;5,5 %;9,0 %;2,0 %;3,5 %;4,5 %;1070;16.09.–19.09.
18.09.2013;39,0 %;26,0 %;11,0 %;6,0 %;9,0 %;2,0 %;3,5 %;3,5 %;1269;03.09.–13.09.
04.09.2013;40,0 %;25,0 %;12,5 %;6,0 %;7,5 %;2,5 %;3,5 %;3,0 %;1548;20.08.–31.08.
21.08.2013;39,0 %;24,5 %;13,5 %;7,0 %;7,0 %;2,0 %;4,0 %;3,0 %;1533;03.08.–15.08.
12.07.2013;40,0 %;25,5 %;12,5 %;6,5 %;6,0 %;2,0 %;4,0 %;3,5 %;1583;01.07.–11.07.
19.06.2013;38,0 %;26,0 %;14,0 %;6,0 %;7,0 %;2,0 %;4,0 %;3,0 %;1490;01.06.–14.06.
22.05.2013;39,0 %;27,0 %;13,0 %;6,0 %;6,0 %;2,5 %;3,0 %;3,5 %;1503;04.05.–17.05.
03.05.2013;38,5 %;26,0 %;15,0 %;5,5 %;6,0 %;3,0 %;2,5 %;3,5 %;1500;15.04.–30.04.
17.04.2013;38,5 % ;28,0 % ;15,0 % ;5,0 % ;7,0 % ;3,0 % ;3,5 % ;  ;1548;27.03.–12.04.
20.03.2013;39,5 % ;26,5 % ;15,5 % ;6,0 % ;6,0 % ;2,5 % ;4,0 % ;  ;1500;01.03.–14.03.
20.02.2013;39,0 % ;27,0 % ;15,0 % ;6,0 % ;6,5 % ;3,0 % ;3,5 % ;  ;;01.02.–14.02.
23.01.2013;39,0 % ;28,0 % ;14,0 % ;5,0 % ;7,0 % ;3,0 % ;4,0 % ;  ;1653;05.01.–18.01.
19.12.2012;37,5 % ;30,0 % ;14,0 % ;4,5 % ;6,5 % ;3,5 % ;4,0 % ;  ;1611;01.12.–13.12.
21.11.2012;37,5 % ;31,0 % ;12,5 % ;4,0 % ;6,5 % ;4,0 % ;4,5 % ;  ;1606;26.10.–08.11.
17.10.2012;35,5 % ;31,0 % ;14,0 % ;4,5 % ;6,0 % ;5,0 % ;4,0 % ;  ;1636;28.09.–12.10.
26.09.2012;34,0 % ;30,0 % ;14,0 % ;5,5 % ;6,5 % ;5,5 % ;4,5 % ;  ;1558;03.09.–17.09.
22.08.2012;35,0 % ;28,0 % ;15,0 % ;5,5 % ;6,0 % ;6,5 % ;4,0 % ;  ;1642;01.08.–13.08.
18.07.2012;36,0 % ;27,0 % ;14,0 % ;6,0 % ;6,0 % ;6,5 % ;4,5 % ;  ;1615;01.07.–12.07.
20.06.2012;34,0 % ;28,0 % ;15,5 % ;5,5 % ;5,0 % ;7,5 % ;4,5 % ;  ;1617;04.06.–15.06.
23.05.2012;35,5 % ;30,0 % ;14,0 % ;4,5 % ;5,5 % ;7,0 % ;3,5 % ;  ;1608;05.05.–19.05.
18.04.2012;34,5 % ;28,0 % ;14,0 % ;3,5 % ;7,0 % ;10,0 % ;3,0 % ;  ;1597;01.04.–13.04.
21.03.2012;35,0 % ;30,0 % ;16,0 % ;3,5 % ;7,0 % ;5,0 % ;3,5 % ;  ;1613;03.03.–15.03.
22.02.2012;36,0 % ;28,0 % ;15,5 % ;4,5 % ;7,5 % ;5,0 % ;3,5 % ;  ;1761;04.02.–16.02.
