  ;CDU/CSU ;SPD ;GRÜNE ;FDP ;LINKE ;PIRATEN ;AfD ;Sonstige ;Befragte ;Zeitraum
12.09.2013;40%;28%;10%;5%;8%;2,5 % ;2,5 % ;4%;2012;10.09.–12.09.
05.09.2013;41%;27%;10%;5%;8%;2%;3%;4%;1502;02.09.–04.09.
29.08.2013;41%;26%;11%;5%;8%;;3%;6%;1500;27.08.–28.08.
23.08.2013;42%;24%;12%;5%;9%;2%;3%;3%;1000;20.08.–21.08.
15.08.2013;42%;25%;12%;5%;8%;3%;;5%;1000;13.08.–14.08.
09.08.2013;42%;25%;13%;5%;7%;3%;;5%;1000;06.08.–07.08.
01.08.2013;42%;26%;13%;5%;7%;;;7%;1503;29.07.–31.07.
25.07.2013;42%;25%;14%;4%;7%;2%;2%;4%;1000;23.07.–24.07.
19.07.2013;41%;26%;13%;4%;7%;2%;3%;4%;1000;16.07.–17.07.
12.07.2013;41%;26%;14%;4%;6%;;3%;6%;1000;09.07.–10.07.
04.07.2013;42%;25%;14%;4%;7%;3%;;5%;1505;01.07.–03.07.
28.06.2013;41%;26%;13%;4%;7%;3%;;6%;1000;25.06.–26.06.
21.06.2013;41%;25%;14%;5%;7%;;;8%;1008;18.06.–19.06.
14.06.2013;41%;26%;15%;4%;7%;;2%;5%;1000;11.06.–13.06.
06.06.2013;41%;27%;14%;4%;6%;;3%;5%;1503;03.06.–05.06.
31.05.2013;42%;26%;14%;4%;6%;;3%;5%;1000;28.05.–29.05.
24.05.2013;41%;27%;14%;4%;6%;2%;2%;4%;1008;21.05.–22.05.
17.05.2013;41%;26%;14%;4%;6%;3%;3%;3%;1000;14.05.–15.05.
10.05.2013;40%;27%;14%;5%;6%;;3%;5%;1000;06.05.–07.05.
02.05.2013;40%;26%;15%;4%;7%;;3%;5%;1506;29.04.–01.05.
26.04.2013;40%;27%;14%;4%;7%;2%;3%;3%;1008;23.04.–24.04.
21.04.2013;41%;27%;14%;4%;7%;;3%;4%;1000;16.04.–17.04.
12.04.2013;42%;27%;15%;4%;7%;2%;;3%;1000;09.04.–10.04.
04.04.2013;41%;27%;14%;4%;8%;3%;;3%;1502;02.04.–03.04.
28.03.2013;39%;28%;15%;4%;8%;3%;;3%;1000;25.03.–26.03.
22.03.2013;38%;27%;16%;5%;8%;2%;;4%;1008;19.03.–20.03.
14.03.2013;40%;25%;17%;5%;7%;3%;;3%;1000;12.03.–13.03.
07.03.2013;40%;26%;17%;4%;7%;2%;;4%;1503;04.03.–06.03.
28.02.2013;41%;27%;15%;4%;6%;3%;;4%;1000;26.02.–27.02.
21.02.2013;40%;28%;15%;5%;6%;3%;;3%;1000;19.02.–20.02.
15.02.2013;40%;27%;16%;4%;7%;3%;;3%;1000;12.02.–13.02.
07.02.2013;39%;29%;15%;4%;6%;3%;;4%;1000;05.02.–06.02.
31.01.2013;40%;27%;15%;4%;6%;4%;;4%;1507;28.01.–30.01.
24.01.2013;42%;27%;14%;4%;6%;3%;;4%;1000;22.01.–23.01.
18.01.2013;42%;26%;13%;4%;7%;4%;;4%;1008;15.01.–16.01.
10.01.2013;41%;28%;14%;4%;6%;3%;;4%;1501;07.01.–09.01.
04.01.2013;41%;29%;12%;4%;6%;4%;;4%;1000;02.01.–03.01.
21.12.2012;40%;30%;13%;4%;7%;3%;;3%;1008;18.12.–19.12.
06.12.2012;39%;30%;14%;4%;7%;3%;;3%;1501;03.12.–05.12.
23.11.2012;39%;29%;15%;4%;6%;4%;;3%;1008;20.11.–21.11.
08.11.2012;40%;30%;14%;4%;6%;4%;;2%;1505;05.11.–07.11.
26.10.2012;38%;30%;13%;4%;7%;5%;;3%;1000;23.10.–24.10.
04.10.2012;39%;31%;11%;4%;7%;4%;;4%;1501;01.10.–03.10.
28.09.2012;37%;30%;12%;4%;7%;6%;;4%;1000;25.09.–26.09.
06.09.2012;37%;30%;13%;4%;6%;6%;;4%;1503;03.09.–05.09.
17.08.2012;36%;29%;13%;5%;6%;7%;;4%;1000;14.08.–15.08.
01.08.2012;36%;28%;13%;5%;6%;8%;;4%;1504;30.07.–31.07.
20.07.2012;35%;30%;14%;4%;6%;8%;;3%;1000;17.07.–18.07.
05.07.2012;35%;30%;14%;4%;7%;7%;;3%;1504;02.07.–04.07.
22.06.2012;34%;31%;14%;4%;6%;8%;;3%;1000;18.06.–19.06.
06.06.2012;34%;30%;13%;5%;5%;9%;;4%;1501;04.06.–05.06.
25.05.2012;33%;29%;13%;5%;6%;11%;;3%;1000;21.05.–22.05.
18.05.2012;33%;30%;13%;5%;5%;11%;;3%;1000;14.05.–15.05.
03.05.2012;34%;28%;14%;4%;6%;11%;;3%;1504;30.04.–02.05.
13.04.2012;35%;27%;14%;3%;6%;11%;;4%;1000;10.04.–11.04.
04.04.2012;35%;27%;14%;3%;7%;10%;;4%;1505;02.04.–03.04.
16.03.2012;37%;30%;13%;3%;7%;6%;;4%;1000;13.03.–14.03.
01.03.2012;37%;28%;14%;3%;7%;7%;;4%;1504;27.02.–29.02.
17.02.2012;36%;29%;16%;3%;7%;6%;;3%;1000;14.02.–15.02.
02.02.2012;36%;29%;15%;3%;7%;6%;;4%;1501;30.01.–01.02.
19.01.2012;36%;29%;15%;3%;7%;6%;;4%;1000;16.01.–17.01.
05.01.2012;35%;30%;16%;2%;6%;6%;;5%;1500;02.01.–04.01.
23.12.2011;36%;30%;16%;3%;6%;6%;;3%;1000;19.12.–21.12.
01.12.2011;35%;30%;16%;3%;7%;6%;;3%;1514;28.11.–30.11.
25.11.2011;35%;30%;14%;3%;7%;7%;;4%;1000;22.11.–23.11.
03.11.2011;34%;31%;15%;4%;6%;7%;;3%;1502;31.10.–02.11.
28.10.2011;33%;32%;14%;3%;7%;7%;;4%;1001;25.10.–26.10.
06.10.2011;32%;30%;17%;3%;6%;8%;;4%;1503;04.10.–05.10.
26.09.2011;34%;30%;18%;4%;6%;4%;;4%;1031;22.09.–24.09.
16.09.2011;33%;30%;19%;5%;7%;;;6%;1001;13.09.–14.09.
09.09.2011;35%;30%;18%;3%;7%;;;7%;1000;06.09.–07.09.
01.09.2011;35%;28%;20%;4%;7%;2%;;4%;1502;29.08.–31.08.
19.08.2011;34%;27%;21%;5%;7%;;;6%;1001;16.08.–17.08.
04.08.2011;32%;28%;23%;4%;8%;;;5%;1507;01.08.–03.08.
