  ;CDU/CSU ;SPD ;GRÜNE ;FDP ;LINKE ;PIRATEN ;AfD ;Sonstige ;Befragte ;Zeitraum
20.09.2013;39%;26%;9%;6%;9%;;4%;7%;2047;14.09.–20.09.
15.09.2013;39%;26%;10%;5%;9%;3%;4%;4%;1840;05.09.–11.09.
08.09.2013;40%;25%;11%;5%;9%;3%;3%;4%;1376;02.09.–04.09.
01.09.2013;39%;23%;11%;6%;10%;3%;3%;5%;1851;22.08.–28.08.
25.08.2013;40%;25%;12%;5%;8%;3%;3%;4%;2755;15.08.–21.08.
18.08.2013;40%;24%;12%;6%;8%;4%;1%;5%;1883;08.08.–14.08.
11.08.2013;41%;25%;13%;5%;8%;3%;2%;3%;1875;01.08.–07.08.
04.08.2013;40%;25%;13%;5%;8%;3%;2%;4%;2770;25.07.–31.07.
28.07.2013;40%;25%;13%;5%;8%;3%;3%;3%;2321;18.07.–24.07.
21.07.2013;40%;25%;13%;6%;8%;3%;2%;3%;1854;11.07.–17.07.
14.07.2013;41%;26%;12%;5%;7%;4%;1%;4%;1838;04.07.–10.07.
07.07.2013;42%;26%;12%;4%;8%;3%;2%;3%;1956;27.06.–03.07.
30.06.2013;41%;25%;13%;5%;7%;3%;2%;4%;1840;20.06.–26.06.
23.06.2013;41%;25%;14%;4%;8%;3%;2%;3%;2755;13.06.–19.06.
16.06.2013;41%;25%;13%;5%;8%;3%;2%;3%;2727;06.06.–12.06.
09.06.2013;41%;26%;13%;4%;7%;3%;3%;3%;1951;31.05.–05.06.
02.06.2013;40%;26%;14%;5%;7%;4%;2%;2%;1866;23.05.–28.05.
26.05.2013;40%;27%;13%;4%;7%;4%;2%;3%;1568;18.05.–22.05.
19.05.2013;39%;26%;15%;4%;7%;4%;3%;2%;2003;10.05.–15.05.
12.05.2013;38%;26%;15%;4%;8%;4%;2%;3%;2362;02.05.–07.05.
05.05.2013;37%;27%;15%;5%;7%;4%;2%;3%;2282;25.04.–30.04.
28.04.2013;40%;27%;14%;4%;7%;3%;2%;3%;2440;18.04.–24.04.
21.04.2013;39%;26%;14%;5%;8%;4%;;4%;2410;11.04.–17.04.
14.04.2013;41%;26%;14%;5%;8%;3%;;3%;1848;04.04.–10.04.
07.04.2013;39%;26%;15%;5%;8%;3%;;4%;1416;28.03.–03.04.
31.03.2013;39%;26%;15%;5%;7%;3%;;5%;1958;21.03.–27.03.
24.03.2013;40%;27%;15%;5%;7%;3%;;3%;2515;14.03.–20.03.
17.03.2013;39%;28%;16%;4%;8%;3%;;2%;2768;07.03.–13.03.
10.03.2013;40%;27%;15%;4%;8%;3%;;3%;2500;28.02.–06.03.
03.03.2013;40%;27%;15%;5%;7%;3%;;3%;1850;21.02.–27.02.
24.02.2013;41%;27%;14%;4%;7%;4%;;3%;2513;14.02.–20.02.
17.02.2013;41%;27%;15%;4%;6%;3%;;4%;2052;07.02.–13.02.
10.02.2013;40%;27%;15%;4%;7%;4%;;3%;2338;31.01.–06.02.
03.02.2013;41%;27%;14%;4%;7%;4%;;3%;1862;24.01.–30.01.
27.01.2013;41%;27%;13%;4%;7%;4%;;4%;1868;17.01.–23.01.
20.01.2013;43%;25%;13%;4%;7%;4%;;4%;1864;10.01.–16.01.
13.01.2013;41%;26%;14%;3%;8%;4%;;4%;2361;03.01.–09.01.
06.01.2013;40%;27%;14%;4%;8%;4%;;3%;1876;20.12.–02.01.
23.12.2012;40%;28%;13%;4%;8%;4%;;3%;2765;13.12.–19.12.
16.12.2012;40%;28%;14%;4%;7%;4%;;3%;3203;06.12.–12.12.
09.12.2012;40%;28%;14%;4%;7%;3%;;4%;2716;29.11.–05.12.
02.12.2012;38%;28%;14%;4%;8%;4%;;4%;2742;22.11.–28.11.
25.11.2012;38%;29%;15%;4%;7%;4%;;3%;2815;15.11.–21.11.
18.11.2012;39%;28%;13%;4%;7%;5%;;4%;2805;08.11.–14.11.
11.11.2012;38%;30%;12%;4%;7%;5%;;4%;1861;01.11.–07.11.
04.11.2012;38%;29%;13%;4%;8%;4%;;4%;2352;25.10.–30.10.
28.10.2012;38%;29%;12%;4%;8%;5%;;4%;2785;18.10.–24.10.
21.10.2012;38%;29%;12%;4%;7%;6%;;4%;3257;11.10.–17.10.
14.10.2012;38%;30%;11%;4%;8%;5%;;4%;2803;04.10.–10.10.
07.10.2012;37%;28%;12%;5%;8%;6%;;4%;1820;27.09.–02.10.
30.09.2012;37%;27%;13%;5%;8%;6%;;4%;2284;20.09.–26.09.
23.09.2012;37%;27%;13%;5%;8%;6%;;4%;1834;13.09.–19.09.
16.09.2012;38%;26%;14%;4%;7%;7%;;4%;2288;06.09.–12.09.
09.09.2012;36%;28%;14%;4%;7%;7%;;4%;1840;30.08.–05.09.
