  ;CDU/CSU ;SPD ;GRÜNE ;FDP ;LINKE ;PIRATEN ;AfD ;Sonstige ;Befragte ;Zeitraum
20.09.2013;40%;26%;10%;5%;9%;2%;4%;4%;1995;16.09.–19.09.
17.09.2013;39%;25%;9%;5%;10%;3%;3%;6%;2502;10.09.–16.09.
11.09.2013;39%;25%;9%;6%;10%;3%;3%;5%;2500;03.09.–09.09.
04.09.2013;40%;23%;11%;5%;9%;3%;4%;5%;2502;27.08.–02.09.
28.08.2013;41%;22%;11%;5%;10%;3%;3%;5%;2501;20.08.–26.08.
21.08.2013;41%;22%;13%;6%;8%;3%;2%;5%;2502;13.08.–19.08.
14.08.2013;40%;23%;13%;5%;8%;3%;3%;5%;2500;06.08.–12.08.
07.08.2013;40%;23%;14%;5%;7%;3%;3%;5%;3003;29.07.–05.08.
31.07.2013;41%;22%;13%;5%;8%;3%;2%;6%;2501;22.07.–26.07.
24.07.2013;41%;22%;12%;5%;9%;4%;2%;5%;2500;15.07.–19.07.
17.07.2013;41%;23%;14%;5%;8%;2%;2%;5%;2502;08.07.–13.07.
10.07.2013;41%;22%;15%;5%;9%;2%;2%;4%;2503;01.07.–05.07.
03.07.2013;41%;22%;14%;5%;9%;2%;2%;5%;2501;24.06.–28.06.
26.06.2013;41%;22%;15%;5%;8%;2%;2%;5%;2502;17.06.–21.06.
19.06.2013;40%;22%;15%;6%;8%;2%;2%;5%;2501;10.06.–15.06.
12.06.2013;40%;24%;13%;5%;9%;2%;2%;5%;2501;03.06.–07.06.
05.06.2013;41%;24%;13%;4%;8%;3%;3%;4%;2508;27.05.–31.05.
28.05.2013;40%;24%;14%;4%;8%;3%;3%;4%;2001;21.05.–24.05.
22.05.2013;41%;24%;13%;4%;8%;3%;3%;4%;2503;13.05.–17.05.
15.05.2013;40%;23%;14%;4%;9%;3%;2%;5%;2001;06.05.–10.05.
07.05.2013;39%;24%;15%;4%;8%;2%;3%;5%;2000;29.04.–02.05.
01.05.2013;39%;23%;14%;5%;8%;3%;3%;5%;2502;22.04.–26.04.
24.04.2013;42%;23%;14%;5%;7%;3%;2%;4%;2504;15.04.–19.04.
17.04.2013;42%;22%;15%;5%;8%;3%;;5%;2508;08.04.–12.04.
10.04.2013;41%;23%;14%;6%;9%;3%;;4%;2002;02.04.–05.04.
03.04.2013;40%;24%;15%;5%;8%;3%;;5%;2004;25.03.–28.03.
26.03.2013;41%;24%;14%;5%;8%;3%;;5%;2506;18.03.–22.03.
20.03.2013;40%;24%;15%;6%;7%;3%;;5%;2501;11.03.–15.03.
13.03.2013;40%;24%;16%;4%;8%;3%;;5%;2501;04.03.–08.03.
06.03.2013;40%;25%;15%;4%;8%;3%;;5%;2506;25.02.–01.03.
27.02.2013;40%;25%;16%;4%;8%;2%;;5%;2501;18.02.–22.02.
20.02.2013;43%;24%;15%;3%;7%;3%;;5%;2502;11.02.–15.02.
13.02.2013;43%;25%;14%;3%;7%;3%;;5%;2505;04.02.–08.02.
06.02.2013;41%;25%;15%;4%;7%;3%;;5%;2500;28.01.–01.02.
30.01.2013;40%;25%;15%;4%;8%;3%;;5%;2504;21.01.–25.01.
23.01.2013;42%;23%;14%;4%;8%;4%;;5%;2506;14.01.–18.01.
16.01.2013;43%;23%;14%;3%;8%;4%;;5%;2507;07.01.–11.01.
09.01.2013;42%;25%;15%;2%;9%;3%;;4%;1503;02.01.–04.01.
26.12.2012;41%;27%;13%;4%;8%;3%;;4%;2500;17.12.–21.12.
19.12.2012;38%;27%;14%;5%;8%;3%;;5%;2503;10.12.–14.12.
12.12.2012;38%;27%;14%;4%;8%;4%;;5%;2505;03.12.–07.12.
05.12.2012;37%;26%;16%;4%;7%;4%;;6%;2504;26.11.–30.11.
28.11.2012;37%;26%;16%;4%;8%;4%;;5%;2504;19.11.–23.11.
21.11.2012;36%;26%;16%;4%;8%;5%;;5%;2506;12.11.–16.11.
14.11.2012;39%;26%;14%;4%;8%;4%;;5%;2500;05.11.–09.11.
07.11.2012;37%;26%;15%;3%;8%;5%;;6%;2503;29.10.–02.11.
30.10.2012;38%;26%;15%;3%;8%;5%;;5%;2506;22.10.–26.10.
24.10.2012;38%;27%;12%;3%;9%;5%;;6%;2503;15.10.–19.10.
17.10.2012;37%;29%;11%;4%;8%;5%;;6%;2500;08.10.–12.10.
10.10.2012;36%;30%;12%;4%;7%;6%;;5%;2004;01.10.–05.10.
02.10.2012;35%;29%;12%;4%;8%;7%;;5%;1000;28.09.
02.10.2012;37%;27%;12%;4%;8%;7%;;5%;2009;24.09.–27.09.
26.09.2012;38%;26%;12%;4%;8%;7%;;5%;2503;17.09.–21.09.
19.09.2012;38%;26%;12%;5%;8%;6%;;5%;2502;10.09.–14.09.
12.09.2012;39%;26%;13%;4%;8%;6%;;4%;2502;03.09.–07.09.
05.09.2012;39%;26%;13%;4%;7%;7%;;4%;2505;27.08.–31.08.
29.08.2012;39%;26%;12%;5%;7%;7%;;4%;2506;20.08.–24.08.
22.08.2012;36%;27%;13%;5%;8%;7%;;4%;2503;13.08.–17.08.
