  ;CDU/CSU ;SPD ;GRÜNE ;FDP ;LINKE ;PIRATEN ;Sonstige ;AfD;Befragte ;Zeitraum
10.09.2013;40%;25%;11%;5%;9%;3%;3%;3%;1007;04.09.–09.09.
20.08.2013;41%;25%;12%;6%;8%;3%;3%;1%;1008;14.08.–19.08.
16.07.2013;41%;25%;13%;5%;7%;2%;4%;2%;1008;10.07.–15.07.
18.06.2013;41%;25%;14%;5%;8%;2%;1%;2%;1006;12.06.–17.06.
16.05.2013;40%;25%;14%;4%;7%;3%;2%;3%;1010;10.05.–15.05.
16.04.2013;42%;24%;13%;6%;8%;2%;3%;;1003;10.04.–15.04.
19.03.2013;40%;26%;16%;5%;7%;3%;2%;;1007;13.03.–18.03.
19.02.2013;40%;27%;15%;5%;6%;3%;2%;;1005;13.02.–18.02.
29.01.2013;42%;26%;15%;5%;6%;3%;2%;;1005;23.01.–28.01.
17.12.2012;40%;29%;14%;4%;7%;3%;2%;;1006;11.12.–14.12.
22.11.2012;37%;26%;16%;4%;8%;4%;3%;;1003;16.11.–21.11.
25.10.2012;38%;27%;12%;4%;8%;5%;4%;;1003;19.10.–24.10.
21.09.2012;38%;26%;13%;5%;6%;6%;4%;;1004;14.09.–20.09.
23.08.2012;36%;28%;13%;5%;6%;7%;3%;;1003;17.08.–22.08.
24.07.2012;35%;29%;13%;4%;6%;8%;3%;;1005;18.07.–23.07.
22.06.2012;34%;28%;13%;6%;5%;10%;4%;  ;1004;18.06.–21.06.
23.05.2012;33%;27%;13%;6%;6%;12%;3%;  ;1003;16.05.–22.05.
23.04.2012;35%;26%;13%;5%;6%;12%;3%;  ;1004;17.04.–22.04.
22.03.2012;37%;27%;14%;4%;8%;6%;4%;  ;1004;16.03.–21.03.
23.02.2012;38%;26%;15%;3%;7%;7%;4%;  ;1001;17.02.–22.02.
26.01.2012;36%;29%;15%;3%;7%;6%;4%;  ;1003;20.01.–25.01.
13.12.2011;34%;30%;15%;3%;7%;6%;5%;  ;1004;07.12.–12.12.
24.11.2011;34%;28%;17%;3%;8%;6%;4%;  ;1002;18.11.–23.11.
24.10.2011;33%;29%;17%;4%;6%;7%;4%;  ;1004;17.10.–20.10.
21.09.2011;33%;29%;20%;4%;7%;;7%;  ;1003;15.09.–20.09.
25.08.2011;34%;27%;21%;5%;7%;;6%;  ;1004;22.08.–24.08.
21.07.2011;32%;26%;22%;5%;8%;;7%;  ;1006;18.07.–20.07.
21.06.2011;33%;24%;23%;5%;8%;;7%;  ;1003;15.06.–20.06.
20.05.2011;33%;24%;23%;4%;9%;;7%;  ;1001;16.05.–19.05.
19.04.2011;33%;24%;24%;5%;8%;;6%;  ;1002;13.04.–18.04.
21.03.2011;34%;27%;20%;5%;8%;;6%;  ;1003;15.03.–18.03.
18.02.2011;34%;26%;19%;5%;10%;;6%;  ;1004;14.02.–17.02.
24.01.2011;34%;27%;19%;5%;9%;;6%;  ;1003;18.01.–23.01.
16.12.2010;33%;27%;20%;5%;9%;;6%;  ;1000;10.12.–15.12.
16.11.2010;32%;26%;21%;5%;10%;;6%;  ;1001;09.11.–15.11.
27.10.2010;32%;29%;19%;5%;9%;;6%;  ;1002;21.10.–26.10.
17.09.2010;31%;30%;17%;5%;11%;;6%;  ;1001;13.09.–16.09.
20.08.2010;31%;31%;16%;5%;10%;;7%;  ;1007;16.08.–19.08.
21.07.2010;32%;30%;16%;5%;10%;;7%;  ;1004;15.07.–20.07.
23.06.2010;32%;29%;17%;6%;10%;;6%;  ;1002;17.06.–22.06.
20.05.2010;33%;28%;16%;7%;10%;;6%;  ;1003;14.05.–19.05.
22.04.2010;35%;26%;15%;9%;9%;;6%;  ;1006;16.04.–21.04.
25.03.2010;34%;26%;15%;9%;10%;;6%;  ;1005;19.03.–24.03.
01.03.2010;35%;25%;15%;10%;9%;;6%;  ;1004;23.02.–27.02.
19.01.2010;35%;24%;14%;11%;11%;;5%;  ;1001;13.01.–18.01.
14.12.2009;35%;24%;13%;12%;11%;;5%;  ;1002;08.12.–11.12.
19.11.2009;35%;21%;12%;13%;13%;;6%;  ;1001;13.11.–18.11.
23.10.2009;35%;21%;11%;14%;14%;;5%;  ;1002;19.10.–22.10.
